,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
0,20MICRONS,EQ,2025-12-01,191.34,192.04,195.57,190.27,191.0,191.56,192.7,41491,79.95,1863, 21874, 52.72
1,20MICRONS,EQ,2025-12-02,191.56,191.75,191.75,188.9,190.5,189.42,189.94,38543,73.21,1559, 24167, 62.70
2,20MICRONS,EQ,2025-12-03,189.42,188.0,192.0,186.26,190.0,190.6,189.67,65939,125.07,2818, 32127, 48.72
3,20MICRONS,EQ,2025-12-04,190.6,190.6,193.29,188.25,191.0,189.92,190.55,38690,73.72,1964, 20134, 52.04
4,20MICRONS,EQ,2025-12-05,189.92,190.11,191.0,184.9,190.0,188.66,186.96,72146,134.88,2502, 40550, 56.21
5,20MICRONS,EQ,2025-11-06,216.05,218.5,218.5,207.06,208.0,208.31,210.48,93455,196.71,2131, 55488, 59.37
6,20MICRONS,EQ,2025-11-07,208.31,208.31,215.0,206.0,213.6,213.21,211.58,67345,142.49,1856, 35358, 52.50
8,20MICRONS,EQ,2025-11-10,213.21,207.3,211.8,202.76,203.86,203.33,204.84,148535,304.26,3542, 85157, 57.33
9,20MICRONS,EQ,2025-11-11,203.33,203.73,205.5,197.0,198.0,197.7,200.42,113294,227.06,3024, 62613, 55.27
10,20MICRONS,EQ,2025-11-12,197.7,199.0,201.44,198.0,199.15,199.25,199.83,78618,157.1,2032, 46577, 59.24
11,20MICRONS,EQ,2025-11-13,199.25,199.25,201.1,197.55,198.1,197.95,198.7,99414,197.54,1897, 59366, 59.72
12,20MICRONS,EQ,2025-11-14,197.95,197.9,199.06,191.6,194.5,193.63,196.23,95278,186.97,2549, 56622, 59.43
14,20MICRONS,EQ,2025-11-17,193.63,195.55,196.31,193.5,194.55,195.09,195.0,66440,129.56,2046, 38840, 58.46
15,20MICRONS,EQ,2025-11-18,195.09,194.09,196.9,190.0,195.0,195.1,194.79,45911,89.43,1733, 22506, 49.02
16,20MICRONS,EQ,2025-11-19,195.1,198.75,198.75,192.1,197.0,194.67,194.09,37242,72.28,1727, 21053, 56.53
17,20MICRONS,EQ,2025-11-20,194.67,194.0,195.96,190.0,190.59,190.86,192.57,56469,108.74,2512, 32076, 56.80
18,20MICRONS,EQ,2025-11-21,190.86,190.0,193.19,189.56,189.61,190.37,190.81,49898,95.21,1834, 28530, 57.18
20,20MICRONS,EQ,2025-11-24,190.37,189.2,190.36,184.18,187.0,185.16,186.53,82495,153.88,2862, 44262, 53.65
21,20MICRONS,EQ,2025-11-25,185.16,186.09,189.0,183.61,189.0,187.98,187.06,52135,97.52,1884, 28215, 54.12
22,20MICRONS,EQ,2025-11-26,187.98,191.99,197.59,187.11,195.0,195.62,193.18,63500,122.67,2132, 29903, 47.09
23,20MICRONS,EQ,2025-11-27,195.62,196.4,198.01,193.25,193.45,193.99,195.75,49499,96.9,2159, 24155, 48.80
24,20MICRONS,EQ,2025-11-28,193.99,192.05,194.16,189.4,192.35,191.34,191.92,88207,169.29,1928, 66128, 74.97
26,21STCENMGM,EQ,2025-12-01,38.25,39.01,39.01,39.01,39.01,39.01,39.01,670,0.26,11, 670, 100.00
27,21STCENMGM,EQ,2025-12-02,39.01,39.79,39.79,39.79,39.79,39.79,39.79,2364,0.94,17, 2364, 100.00
28,21STCENMGM,EQ,2025-12-03,39.79,40.58,40.58,40.58,40.58,40.58,40.58,324,0.13,8, 324, 100.00
29,21STCENMGM,EQ,2025-12-04,40.58,41.39,41.39,41.39,41.39,41.39,41.39,2748,1.14,14, 2748, 100.00
