,SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
0,360ONE,2025-11-06,1081.6,1084.1,1062.7,1066.4,1068.2,396590,4243.01,29512, 216218, 54.52
1,360ONE,2025-11-07,1060.0,1076.3,1052.4,1066.2,1066.0,922625,9834.02,46626, 613883, 66.54
2,360ONE,2025-11-10,1069.5,1079.0,1056.6,1075.7,1074.6,308692,3303.77,30563, 185060, 59.95
3,360ONE,2025-11-11,1073.1,1089.1,1051.1,1081.0,1070.0,466556,4974.56,33861, 251535, 53.91
4,360ONE,2025-11-12,1080.8,1096.9,1072.8,1087.0,1089.0,341552,3718.66,21584, 170993, 50.06
5,360ONE,2025-11-13,1089.0,1095.0,1075.8,1085.0,1085.6,457966,4977.61,31264, 272459, 59.49
6,360ONE,2025-11-14,1087.0,1089.8,1059.0,1064.9,1065.4,601566,6419.91,21944, 385722, 64.12
7,360ONE,2025-11-17,1062.2,1080.0,1060.2,1073.8,1071.8,441511,4722.19,26987, 283639, 64.24
8,360ONE,2025-11-18,1079.8,1081.4,1056.0,1075.0,1078.0,488323,5217.54,17479, 318966, 65.32
9,360ONE,2025-11-19,1080.0,1125.8,1066.9,1119.1,1119.2,1078355,11923.87,33482, 550004, 51.00
10,360ONE,2025-11-20,1128.9,1144.9,1117.6,1143.0,1142.1,1134821,12870.79,39332, 323907, 28.54
11,360ONE,2025-11-21,1142.1,1157.3,1121.0,1138.8,1139.7,2783024,31693.65,60383, 782101, 28.10
12,360ONE,2025-11-24,1147.6,1154.3,1122.4,1123.0,1129.8,2106550,23985.63,46715, 1108236, 52.61
13,360ONE,2025-11-25,1121.1,1144.0,1110.3,1122.0,1120.0,902708,10145.92,33371, 292747, 32.43
14,360ONE,2025-11-26,1121.9,1158.4,1121.9,1145.0,1150.0,1023674,11761.58,27808, 617543, 60.33
15,360ONE,2025-11-27,1150.0,1173.9,1141.0,1165.0,1166.6,490617,5684.81,22937, 244180, 49.77
16,360ONE,2025-11-28,1165.9,1186.0,1144.0,1178.4,1183.2,1176162,13659.69,30043, 806972, 68.61
17,360ONE,2025-12-01,1184.9,1198.6,1181.2,1190.0,1189.3,560894,6684.15,40126, 327015, 58.30
18,360ONE,2025-12-02,1189.0,1189.0,1157.5,1164.8,1162.9,492146,5771.72,15449, 125046, 25.41
19,360ONE,2025-12-03,1162.0,1168.0,1140.0,1153.9,1148.1,323061,3730.7,19436, 131821, 40.80
20,360ONE,2025-12-04,1151.9,1187.8,1123.9,1123.9,1127.9,312892,3549.49,20374, 154593, 49.41
21,360ONE,2025-12-05,1125.1,1156.6,1114.1,1146.1,1146.7,476537,5423.53,32050, 206605, 43.36
22,ABB,2025-11-06,5258.0,5280.5,5172.0,5205.0,5228.0,302941,15889.67,23999, 166519, 54.97
23,ABB,2025-11-07,5099.0,5151.0,4962.5,5011.5,5016.5,1147124,57526.32,82785, 563219, 49.10
24,ABB,2025-11-10,4964.0,5009.0,4921.5,4995.0,4992.0,207748,10333.05,25669, 72748, 35.02
25,ABB,2025-11-11,5021.5,5026.5,4941.0,4976.0,4978.5,202095,10039.52,19996, 105685, 52.29
26,ABB,2025-11-12,4994.0,5000.0,4911.0,4933.0,4924.0,322415,15959.62,28507, 194591, 60.35
27,ABB,2025-11-13,4933.0,4959.0,4896.0,4907.5,4913.0,308690,15203.13,22974, 220592, 71.46
28,ABB,2025-11-14,4913.0,4963.0,4899.0,4960.0,4952.5,120184,5930.41,12266, 58515, 48.69
29,ABB,2025-11-17,4955.0,5060.0,4926.0,5046.0,5041.5,201519,10081.89,21295, 110028, 54.60
30,ABB,2025-11-18,5041.5,5095.0,4998.5,5075.0,5080.5,185933,9401.58,16241, 86259, 46.39
31,ABB,2025-11-19,5081.5,5099.0,5037.0,5074.0,5083.0,241340,12228.03,20142, 123679, 51.25
32,ABB,2025-11-20,5083.0,5172.0,5083.0,5143.0,5147.0,315841,16252.17,25223, 180267, 57.08
33,ABB,2025-11-21,5130.0,5132.0,5068.5,5093.5,5092.0,195539,9957.83,19628, 108384, 55.43
34,ABB,2025-11-24,5092.0,5100.0,5024.5,5049.5,5057.0,453211,22933.04,30549, 287767, 63.50
