,symbol,instrument_token,date,open,high,low,close,volume
0,ABB,3329,2025-07-23,5771.5,5788.0,5478.0,5579.0,1119099
1,ABB,3329,2025-07-30,5610.0,5610.0,5014.5,5084.0,3541097
2,ABB,3329,2025-08-06,5124.0,5143.5,5002.5,5071.5,1792430
3,ABB,3329,2025-08-13,5097.5,5105.5,5003.5,5068.0,981194
4,ABB,3329,2025-08-20,5084.0,5195.0,5011.0,5022.0,1638420
5,ABB,3329,2025-08-28,5022.0,5174.5,4939.5,5148.2,1135992
6,ABB,3329,2025-09-03,5150.0,5221.8,5070.0,5131.9,1075768
7,ABB,3329,2025-09-10,5129.8,5383.3,5121.0,5349.0,1148545
8,ABB,3329,2025-09-17,5375.6,5471.3,5285.0,5298.7,1085175
9,ABB,3329,2025-09-24,5298.0,5349.8,5121.0,5183.3,1238152
10,ABB,3329,2025-10-01,5185.0,5343.0,5143.0,5219.5,924589
11,ABB,3329,2025-10-08,5236.5,5236.5,5075.0,5119.5,1376114
12,ABB,3329,2025-10-15,5119.5,5273.5,5077.5,5240.0,1075386
13,ABB,3329,2025-10-23,5244.0,5279.5,5141.5,5175.5,888135
14,ABB,3329,2025-10-29,5175.5,5306.0,5175.5,5279.0,314480
15,ADANIENT,6401,2025-07-23,2600.7,2625.9,2507.5,2547.9,1848008
16,ADANIENT,6401,2025-07-30,2547.9,2552.6,2316.0,2328.2,3849188
17,ADANIENT,6401,2025-08-06,2333.9,2347.9,2164.8,2288.2,8165540
18,ADANIENT,6401,2025-08-13,2299.0,2395.6,2245.4,2388.4,3889849
19,ADANIENT,6401,2025-08-20,2380.0,2406.0,2249.4,2272.0,3420108
20,ADANIENT,6401,2025-08-28,2271.9,2327.9,2240.0,2274.2,2611100
21,ADANIENT,6401,2025-09-03,2285.0,2333.9,2248.0,2311.6,2191578
22,ADANIENT,6401,2025-09-10,2330.0,2421.6,2325.1,2399.4,4087457
23,ADANIENT,6401,2025-09-17,2417.0,2695.0,2388.4,2676.4,21816226
24,ADANIENT,6401,2025-09-24,2655.0,2676.0,2490.6,2505.9,5973269
25,ADANIENT,6401,2025-10-01,2518.4,2617.3,2472.1,2542.2,4266321
26,ADANIENT,6401,2025-10-08,2562.0,2565.0,2485.2,2517.0,3723733
27,ADANIENT,6401,2025-10-15,2535.0,2579.7,2527.3,2549.9,3311210
28,ADANIENT,6401,2025-10-23,2559.9,2577.8,2479.1,2494.4,2431253
29,ADANIENT,6401,2025-10-29,2500.0,2600.0,2495.5,2526.9,2310062
30,APOLLOHOSP,40193,2025-07-23,7251.0,7502.0,7244.0,7456.0,1975541
31,APOLLOHOSP,40193,2025-07-30,7460.0,7538.0,7235.5,7274.0,1368557
32,APOLLOHOSP,40193,2025-08-06,7270.0,7320.0,7020.5,7236.5,1872186
33,APOLLOHOSP,40193,2025-08-13,7403.0,7917.5,7389.0,7823.5,3983261
34,APOLLOHOSP,40193,2025-08-20,7830.0,7980.0,7720.5,7793.5,2853145
35,APOLLOHOSP,40193,2025-08-28,7755.0,7828.0,7586.0,7682.0,1351744
36,APOLLOHOSP,40193,2025-09-03,7685.0,7918.5,7656.0,7825.5,1554332
37,APOLLOHOSP,40193,2025-09-10,7805.0,7956.0,7796.0,7852.5,1025652
38,APOLLOHOSP,40193,2025-09-17,7869.0,7911.0,7611.5,7684.0,1466640
39,APOLLOHOSP,40193,2025-09-24,7698.0,7730.0,7400.0,7409.0,1540879
40,APOLLOHOSP,40193,2025-10-01,7409.5,7730.0,7359.0,7700.0,1332586
41,APOLLOHOSP,40193,2025-10-08,7697.5,7848.5,7620.0,7759.0,1363815
